split_seed,clause_category,model,threshold,missing_precision,missing_recall,missing_f1,missing_auroc,balanced_accuracy,n_test,n_missing_test,n_present_test,val_missing_f1_at_selected_threshold
42,Third Party Beneficiary,TextPlusLayout,0.05,0.937007874015748,0.9916666666666667,0.9635627530364372,0.7437499999999999,0.49583333333333335,128,120,8,0.9733333333333334
42,Uncapped Liability,FrequencyPrior,0.05,0.8359375,1.0,0.9106382978723404,0.5,0.5,128,107,21,
42,Uncapped Liability,TextOnly,0.4799999999999999,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.7992879394748553,0.6582109479305741,128,107,21,0.8952380952380953
42,Uncapped Liability,TextPlusLayout,0.41999999999999993,0.9183673469387755,0.8411214953271028,0.8780487804878049,0.8669336893635959,0.7300845571873609,128,107,21,0.9038461538461539
42,Unlimited/All-You-Can-Eat-License,FrequencyPrior,0.05,0.9609375,1.0,0.9800796812749004,0.5,0.5,128,123,5,
42,Unlimited/All-You-Can-Eat-License,TextOnly,0.05,0.9609375,1.0,0.9800796812749004,0.8178861788617886,0.5,128,123,5,0.9934640522875817
42,Unlimited/All-You-Can-Eat-License,TextPlusLayout,0.05,0.968503937007874,1.0,0.984,0.7999999999999999,0.6,128,123,5,0.9934640522875817
42,Volume Restriction,FrequencyPrior,0.05,0.8359375,1.0,0.9106382978723404,0.5,0.5,128,107,21,
42,Volume Restriction,TextOnly,0.43999999999999995,0.8548387096774194,0.9906542056074766,0.9177489177489178,0.7356475300400533,0.5667556742323098,128,107,21,0.9571428571428572
42,Volume Restriction,TextPlusLayout,0.20999999999999996,0.8467741935483871,0.9813084112149533,0.9090909090909091,0.7783711615487315,0.5382732532265242,128,107,21,0.951048951048951
42,Warranty Duration,FrequencyPrior,0.05,0.8828125,1.0,0.9377593360995851,0.5,0.5,128,113,15,
42,Warranty Duration,TextOnly,0.18,0.8968253968253969,1.0,0.9456066945606695,0.9510324483775812,0.5666666666666667,128,113,15,0.9142857142857143
42,Warranty Duration,TextPlusLayout,0.13,0.889763779527559,1.0,0.9416666666666667,0.9351032448377581,0.5333333333333333,128,113,15,0.9142857142857143
43,Affiliate License-Licensee,FrequencyPrior,0.05,0.875,1.0,0.9333333333333333,0.5,0.5,128,112,16,
43,Affiliate License-Licensee,TextOnly,0.38999999999999996,0.8934426229508197,0.9732142857142857,0.9316239316239316,0.6847098214285714,0.5803571428571428,128,112,16,0.9481481481481482
43,Affiliate License-Licensee,TextPlusLayout,0.25999999999999995,0.9224137931034483,0.9553571428571429,0.9385964912280702,0.8549107142857143,0.6964285714285714,128,112,16,0.9465648854961832
43,Affiliate License-Licensor,FrequencyPrior,0.05,0.96875,1.0,0.9841269841269841,0.5,0.5,128,124,4,
43,Affiliate License-Licensor,TextOnly,0.05,0.96875,1.0,0.9841269841269841,0.8629032258064516,0.5,128,124,4,0.9733333333333334
43,Affiliate License-Licensor,TextPlusLayout,0.25999999999999995,0.9915254237288136,0.9435483870967742,0.9669421487603306,0.9294354838709677,0.8467741935483871,128,124,4,0.9722222222222222
43,Agreement Date,FrequencyPrior,0.05,0.6796875,1.0,0.8093023255813954,0.5,0.5,128,87,41,
43,Agreement Date,TextOnly,0.31999999999999995,0.6796875,1.0,0.8093023255813954,0.6372301654051024,0.5,128,87,41,0.8656716417910447
43,Agreement Date,TextPlusLayout,0.33999999999999997,0.8021978021978022,0.8390804597701149,0.8202247191011236,0.8287075974208018,0.7000280347631063,128,87,41,0.8925619834710744
43,Anti-Assignment,FrequencyPrior,0.05,0.3203125,1.0,0.48520710059171596,0.5,0.5,128,41,87,
43,Anti-Assignment,TextOnly,0.43999999999999995,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.8166526492851136,0.7488085225679844,128,41,87,0.5294117647058824
