split_seed,contract_id,model,k,precision_at_k,recall_at_k,n_missing_eligible_categories
42,ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,TextOnly,3,0.6666666666666666,0.09090909090909091,22
42,ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,TextOnly,5,0.8,0.18181818181818182,22
42,ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,TextOnly,10,0.9,0.4090909090909091,22
42,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,TextOnly,3,1.0,0.09375,32
42,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,TextOnly,5,1.0,0.15625,32
42,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,TextOnly,10,1.0,0.3125,32
42,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,TextOnly,3,1.0,0.1,30
42,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,TextOnly,5,1.0,0.16666666666666666,30
42,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,TextOnly,10,1.0,0.3333333333333333,30
42,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,TextOnly,3,1.0,0.125,24
42,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,TextOnly,5,1.0,0.20833333333333334,24
42,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,TextOnly,10,1.0,0.4166666666666667,24
42,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,TextOnly,3,0.6666666666666666,0.1111111111111111,18
42,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,TextOnly,5,0.6,0.16666666666666666,18
42,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,TextOnly,10,0.7,0.3888888888888889,18
42,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,TextOnly,3,1.0,0.13636363636363635,22
42,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,TextOnly,5,1.0,0.22727272727272727,22
42,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,TextOnly,10,1.0,0.45454545454545453,22
