label,precision,recall,f1-score,support,model,split_seed
Covenant Not To Sue,0.9666666666666667,0.7837837837837838,0.8656716417910447,37.0,TFIDF_LinearSVM,43
Document Name,0.898989898989899,1.0,0.9468085106382979,89.0,TFIDF_LinearSVM,43
Effective Date,0.6896551724137931,0.37735849056603776,0.4878048780487805,53.0,TFIDF_LinearSVM,43
Exclusivity,0.54,0.4090909090909091,0.46551724137931033,66.0,TFIDF_LinearSVM,43
Expiration Date,0.7333333333333333,0.8461538461538461,0.7857142857142857,91.0,TFIDF_LinearSVM,43
Governing Law,0.9885057471264368,0.9885057471264368,0.9885057471264368,87.0,TFIDF_LinearSVM,43
Insurance,0.9666666666666667,0.9586776859504132,0.9626556016597511,121.0,TFIDF_LinearSVM,43
Ip Ownership Assignment,0.8620689655172413,0.8771929824561403,0.8695652173913043,57.0,TFIDF_LinearSVM,43
Irrevocable Or Perpetual License,0.3939393939393939,0.43333333333333335,0.4126984126984127,30.0,TFIDF_LinearSVM,43
Joint Ip Ownership,0.7894736842105263,0.7142857142857143,0.75,21.0,TFIDF_LinearSVM,43
License Grant,0.5942028985507246,0.5616438356164384,0.5774647887323944,146.0,TFIDF_LinearSVM,43
Liquidated Damages,0.7272727272727273,0.8,0.7619047619047619,30.0,TFIDF_LinearSVM,43
Minimum Commitment,0.7307692307692307,0.8507462686567164,0.7862068965517242,67.0,TFIDF_LinearSVM,43
Most Favored Nation,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0,TFIDF_LinearSVM,43
No-Solicit Of Customers,0.8,0.5714285714285714,0.6666666666666666,14.0,TFIDF_LinearSVM,43
No-Solicit Of Employees,0.6875,0.8461538461538461,0.7586206896551724,13.0,TFIDF_LinearSVM,43
Non-Compete,0.5333333333333333,0.6274509803921569,0.5765765765765766,51.0,TFIDF_LinearSVM,43
Non-Disparagement,0.6363636363636364,1.0,0.7777777777777778,7.0,TFIDF_LinearSVM,43
Non-Transferable License,0.3870967741935484,0.2222222222222222,0.2823529411764706,54.0,TFIDF_LinearSVM,43
Notice Period To Terminate Renewal,0.4,0.32,0.35555555555555557,25.0,TFIDF_LinearSVM,43
Parties,0.8858447488584474,0.9797979797979798,0.9304556354916067,198.0,TFIDF_LinearSVM,43
Post-Termination Services,0.7763157894736842,0.5673076923076923,0.6555555555555556,104.0,TFIDF_LinearSVM,43
Price Restrictions,0.42857142857142855,0.75,0.5454545454545454,4.0,TFIDF_LinearSVM,43
Renewal Term,0.6875,0.5945945945945946,0.6376811594202898,37.0,TFIDF_LinearSVM,43
Revenue/Profit Sharing,0.7083333333333334,0.918918918918919,0.8,74.0,TFIDF_LinearSVM,43
Rofr/Rofo/Rofn,0.5714285714285714,0.6829268292682927,0.6222222222222222,41.0,TFIDF_LinearSVM,43
Source Code Escrow,0.625,0.8695652173913043,0.7272727272727273,23.0,TFIDF_LinearSVM,43
Termination For Convenience,0.6166666666666667,0.7872340425531915,0.6915887850467289,47.0,TFIDF_LinearSVM,43
Third Party Beneficiary,0.8333333333333334,0.625,0.7142857142857143,8.0,TFIDF_LinearSVM,43
Uncapped Liability,0.625,0.3448275862068966,0.4444444444444444,29.0,TFIDF_LinearSVM,43
Unlimited/All-You-Can-Eat-License,0.0,0.0,0.0,0.0,TFIDF_LinearSVM,43
Volume Restriction,0.625,0.5128205128205128,0.5633802816901409,39.0,TFIDF_LinearSVM,43
Warranty Duration,0.7142857142857143,0.9090909090909091,0.8,11.0,TFIDF_LinearSVM,43
accuracy,0.7518115942028986,0.7518115942028986,0.7518115942028986,0.7518115942028986,TFIDF_LinearSVM,43
macro avg,0.6585534513248918,0.6604336991201153,0.647316112175966,2208.0,TFIDF_LinearSVM,43
