dataset,model,seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,87,0.7734375,0.7518124849007202,0.761904761904762,0.7516165398658022,0.7734375
LexGLUE_unfair_tos,PortableStructureOnly,87,0.359375,0.323038073038073,0.33910533910533913,0.3197743107248916,0.359375
LexGLUE_unfair_tos,SBERT_LinearSVM,87,0.796875,0.7622409156500066,0.7662337662337663,0.7539364079155368,0.796875
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,87,0.7421875,0.7183132235060185,0.7196969696969697,0.7038897070090642,0.7421875
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,87,0.78125,0.7576303215657283,0.7532467532467532,0.7486012429258988,0.78125
LexGLUE_unfair_tos,MajorityBaseline,101,0.109375,0.009943181818181818,0.09090909090909091,0.017925736235595388,0.109375
LexGLUE_unfair_tos,TFIDF_LinearSVM,101,0.7109375,0.6887708251344614,0.7074314574314573,0.6904608469859398,0.7109375
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,101,0.6875,0.6723831130248242,0.6843434343434343,0.6668692299150384,0.6875
LexGLUE_unfair_tos,PortableStructureOnly,101,0.3671875,0.327425078215592,0.34559884559884557,0.32003291118123656,0.3671875
LexGLUE_unfair_tos,SBERT_LinearSVM,101,0.734375,0.6924832520420755,0.7204184704184704,0.6887274500224563,0.734375
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,101,0.703125,0.6626741722329957,0.6735209235209235,0.6510007518762728,0.703125
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,101,0.7265625,0.7113370660830554,0.7204184704184705,0.7061639465016956,0.7265625
